course,commencement_date,label,url,published,sort_order
Teaching and Learning,"July 24, 2026",New Cohort Commencement Date,teaching-learning.html,yes,1
Educational Leadership,"June 25, 2026",New Cohort Commencement Date,educational-leadership.html,yes,2
